+-----+-------------------------------------+-------------------------------------+-------------------------------------+-----------------------------------+------------------------------------+------------------------------------+------------------------------+
|  #  |                  A                  |                  B                  |                  C                  |                F(A)               |                F(B)                |                F(C)                |            |B-A|             |
+-----+-------------------------------------+-------------------------------------+-------------------------------------+-----------------------------------+------------------------------------+------------------------------------+------------------------------+
|  1  |                  -4                 |                  4                  |                  0                  |                1077               |                -539                |                 -3                 |              8               |
|  2  |                  -4                 |                  0                  |                  -2                 |                1077               |                 -3                 |                133                 |              4               |
|  3  |                  -2                 |                  0                  |                  -1                 |                133                |                 -3                 |                 21                 |              2               |
|  4  |                  -1                 |                  0                  |                 -0.5                |                 21                |                 -3                 |               3.8125               |              1               |
|  5  |                 -0.5                |                  0                  |                -0.25                |               3.8125              |                 -3                 |            -0.24609375             |             0.5              |
|  6  |                 -0.5                |                -0.25                |                -0.375               |               3.8125              |            -0.24609375             |           1.543212890625           |             0.25             |
|  7  |                -0.375               |                -0.25                |               -0.3125               |           1.543212890625          |            -0.24609375             |         0.5984039306640625         |            0.125             |
|  8  |               -0.3125               |                -0.25                |               -0.28125              |         0.5984039306640625        |            -0.24609375             |       0.16482639312744140625       |            0.0625            |
|  9  |               -0.28125              |                -0.25                |              -0.265625              |       0.16482639312744140625      |            -0.24609375             |    -0.043315827846527099609375     |           0.03125            |
|  10 |               -0.28125              |              -0.265625              |              -0.2734375             |       0.16482639312744140625      |    -0.043315827846527099609375     |   0.0600660480558872222900390625   |           0.015625           |
|  11 |              -0.2734375             |              -0.265625              |             -0.26953125             |   0.0600660480558872222900390625  |    -0.043315827846527099609375     | 0.0082051421049982309341430664062  |          0.0078125           |
|  12 |             -0.26953125             |              -0.265625              |             -0.267578125            | 0.0082051421049982309341430664062 |    -0.043315827846527099609375     | -0.0175975425954675301909446716309 |          0.00390625          |
|  13 |             -0.26953125             |             -0.267578125            |            -0.2685546875            | 0.0082051421049982309341430664062 | -0.0175975425954675301909446716309 | -0.0047067866971701732836663722992 |         0.001953125          |
|  14 |             -0.26953125             |            -0.2685546875            |            -0.26904296875           | 0.0082051421049982309341430664062 | -0.0047067866971701732836663722992 | 0.0017465265246414674038533121347  |         0.0009765625         |
|  15 |            -0.26904296875           |            -0.2685546875            |           -0.268798828125           | 0.0017465265246414674038533121347 | -0.0047067866971701732836663722992 | -0.0014807923102431175266247009858 |        0.00048828125         |
|  16 |            -0.26904296875           |           -0.268798828125           |           -0.2689208984375          | 0.0017465265246414674038533121347 | -0.0014807923102431175266247009858 | 0.0001327014798528924899301273399  |        0.000244140625        |
|  17 |           -0.2689208984375          |           -0.268798828125           |          -0.26885986328125          | 0.0001327014798528924899301273399 | -0.0014807923102431175266247009858 | -0.0006740868131125260509506347262 |       0.0001220703125        |
|  18 |           -0.2689208984375          |          -0.26885986328125          |          -0.268890380859375         | 0.0001327014798528924899301273399 | -0.0006740868131125260509506347262 | -0.0002707030172240517881809829248 |       0.00006103515625       |
|  19 |           -0.2689208984375          |          -0.268890380859375         |         -0.2689056396484375         | 0.0001327014798528924899301273399 | -0.0002707030172240517881809829248 | -0.0000690033564734997425203777421 |      0.000030517578125       |
|  20 |           -0.2689208984375          |         -0.2689056396484375         |         -0.26891326904296875        | 0.0001327014798528924899301273399 | -0.0000690033564734997425203777421 | 0.0000318484147252961115207112869  |      0.0000152587890625      |
|  21 |         -0.26891326904296875        |         -0.2689056396484375         |        -0.268909454345703125        | 0.0000318484147252961115207112869 | -0.0000690033564734997425203777421 | -0.0000185776326130243480150723004 |     0.00000762939453125      |
|  22 |         -0.26891326904296875        |        -0.268909454345703125        |        -0.2689113616943359375       | 0.0000318484147252961115207112869 | -0.0000185776326130243480150723004 | 0.0000066353506211330571936828464  |     0.000003814697265625     |
|  23 |        -0.2689113616943359375       |        -0.268909454345703125        |       -0.26891040802001953125       | 0.0000066353506211330571936828464 | -0.0000185776326130243480150723004 | -0.0000059711511046623276092803196 |    0.0000019073486328125     |
|  24 |        -0.2689113616943359375       |       -0.26891040802001953125       |       -0.268910884857177734375      | 0.0000066353506211330571936828464 | -0.0000059711511046623276092803196 |   3.320972310519412506805259E-7    |      9.5367431640625E-7      |
|  25 |       -0.268910884857177734375      |       -0.26891040802001953125       |      -0.2689106464385986328125      |   3.320972310519412506805259E-7   | -0.0000059711511046623276092803196 | -0.0000028195275686005174406473212 |     4.76837158203125E-7      |
|  26 |       -0.268910884857177734375      |      -0.2689106464385986328125      |      -0.26891076564788818359375     |   3.320972310519412506805259E-7   | -0.0000028195275686005174406473212 | -0.0000012437153267231856133213195 |     2.384185791015625E-7     |
|  27 |       -0.268910884857177734375      |      -0.26891076564788818359375     |     -0.268910825252532958984375     |   3.320972310519412506805259E-7   | -0.0000012437153267231856133213195 |   -4.558090873228548675302755E-7   |    1.1920928955078125E-7     |
|  28 |       -0.268910884857177734375      |     -0.268910825252532958984375     |     -0.2689108550548553466796875    |   3.320972310519412506805259E-7   |   -4.558090873228548675302755E-7   |   -6.18559380072660183055358E-8    |    5.9604644775390625E-8     |
|  29 |       -0.268910884857177734375      |     -0.2689108550548553466796875    |    -0.26891086995601654052734375    |   3.320972310519412506805259E-7   |   -6.18559380072660183055358E-8    |   1.351206440543851839263048E-7    |    2.98023223876953125E-8    |
|  30 |    -0.26891086995601654052734375    |     -0.2689108550548553466796875    |    -0.268910862505435943603515625   |   1.351206440543851839263048E-7   |   -6.18559380072660183055358E-8    |    3.66323524065714909689651E-8    |   1.490116119384765625E-8    |
